node,centrality
E1,0.13114754098360656
E2,0.01639344262295082
E3,0.01639344262295082
E4,0.01639344262295082
E5,0.01639344262295082
E-TL,0.0
M1,0.0819672131147541
M2,0.09836065573770492
O-BA1,0.01639344262295082
O-E1,0.01639344262295082
S2T-TL,0.06557377049180328
O-E3,0.0
O-TL1,0.0
O-TL2,0.0
PM,0.0
S1P-BA1,0.01639344262295082
S1P-BA2,0.01639344262295082
S1P-BA3,0.03278688524590164
S1P-TL,0.09836065573770492
S1S-BA1,0.01639344262295082
S1S-BA2,0.04918032786885246
S1S-BA3,0.01639344262295082
O-BA4,0.01639344262295082
S1S-TL,0.0819672131147541
S1T-BA1,0.09836065573770492
S1T-BA2,0.13114754098360656
S1T-BA3,0.13114754098360656
S1T-BA4,0.06557377049180328
S1T-BA5,0.13114754098360656
S1TP-BA6,0.09836065573770492
S1TP-TL,0.09836065573770492
O-BA3,0.01639344262295082
O-BA2,0.01639344262295082
O-BA5,0.01639344262295082
O-TL3,0.0
S2T-BA1,0.09836065573770492
S2T-BA2,0.0819672131147541
S2T-BA3,0.0819672131147541
S2T-BA4,0.03278688524590164
S1S-BA,0.03278688524590164
S3-BA1,0.0
S3-BA11,0.0
S3-BA12,0.01639344262295082
S3-BA2,0.01639344262295082
S3-BA3,0.03278688524590164
O-BA6,0.01639344262295082
E6,0.01639344262295082
S3-BA6,0.04918032786885246
S3-BA7,0.04918032786885246
S3-BA8,0.0819672131147541
S3-BA9,0.0
O-TL4,0.01639344262295082
O-TL5,0.01639344262295082
SD1,0.11475409836065574
SD2,0.09836065573770492
SD3,0.09836065573770492
SD4,0.04918032786885246
SD5,0.03278688524590164
SD-TL,0.06557377049180328
SM1,0.01639344262295082
SM2,0.01639344262295082
SM3,0.03278688524590164
