node,centrality
E1,0.21311475409836067
E2,0.04918032786885246
E3,0.01639344262295082
E4,0.01639344262295082
E5,0.01639344262295082
E-TL,0.01639344262295082
M1,0.22950819672131148
M2,0.26229508196721313
O-BA1,0.01639344262295082
O-E1,0.01639344262295082
S2T-TL,0.13114754098360656
O-E3,0.01639344262295082
O-TL1,0.01639344262295082
O-TL2,0.01639344262295082
PM,0.09836065573770492
S1P-BA1,0.01639344262295082
S1P-BA2,0.01639344262295082
S1P-BA3,0.03278688524590164
S1P-TL,0.21311475409836067
S1S-BA1,0.03278688524590164
S1S-BA2,0.11475409836065574
S1S-BA3,0.01639344262295082
O-BA4,0.03278688524590164
S1S-TL,0.1639344262295082
S1T-BA1,0.18032786885245902
S1T-BA2,0.1639344262295082
S1T-BA3,0.1639344262295082
S1T-BA4,0.13114754098360656
S1T-BA5,0.3114754098360656
S1TP-BA6,0.27868852459016397
S1TP-TL,0.3770491803278689
O-BA3,0.01639344262295082
O-BA2,0.01639344262295082
O-BA5,0.04918032786885246
O-TL3,0.01639344262295082
S2T-BA1,0.13114754098360656
S2T-BA2,0.14754098360655737
S2T-BA3,0.18032786885245902
S2T-BA4,0.04918032786885246
S1S-BA,0.04918032786885246
S3-BA1,0.01639344262295082
S3-BA11,0.01639344262295082
S3-BA12,0.01639344262295082
S3-BA2,0.03278688524590164
S3-BA3,0.06557377049180328
O-BA6,0.03278688524590164
E6,0.01639344262295082
S3-BA6,0.09836065573770492
S3-BA7,0.0819672131147541
S3-BA8,0.14754098360655737
S3-BA9,0.01639344262295082
O-TL4,0.01639344262295082
O-TL5,0.03278688524590164
SD1,0.22950819672131148
SD2,0.19672131147540983
SD3,0.1639344262295082
SD4,0.09836065573770492
SD5,0.03278688524590164
SD-TL,0.13114754098360656
SM1,0.03278688524590164
SM2,0.03278688524590164
SM3,0.03278688524590164
